,Threshold,Precision,Recall,AUC
74,0.2507600003491961,0.3667711598746082,0.7177914110429447,0.3655222589683326
75,0.25076814464478697,0.36507936507936506,0.7055214723926381,0.3655222589683326
76,0.2507762891163572,0.3662420382165605,0.7055214723926381,0.3655222589683326
77,0.2509276316626747,0.36245954692556637,0.6871165644171779,0.3655222589683326
78,0.2509889907815993,0.3588039867109635,0.6625766871165644,0.3655222589683326
79,0.2515293810773992,0.36,0.6625766871165644,0.3655222589683326
80,0.25157854575401867,0.35906040268456374,0.656441717791411,0.3655222589683326
81,0.2529504234703581,0.3602693602693603,0.656441717791411,0.3655222589683326
82,0.2531327843461696,0.3614864864864865,0.656441717791411,0.3655222589683326
83,0.25495725685916704,0.3593220338983051,0.6503067484662577,0.3655222589683326
84,0.25671858001102493,0.36054421768707484,0.6503067484662577,0.3655222589683326
